Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55824,A History of Russia,Nicholas V. Riasanovsky,"Riasanovsky, Nicholas V.",Mark Steinberg,"=""0195153928""","=""9780195153927""",0,3.98,Oxford University Press,Paperback,464,2004,1962,,2024/10/12,to-read,to-read (#250),to-read,,,,0,0
55822,A History of Russia,Nicholas V. Riasanovsky,"Riasanovsky, Nicholas V.",Mark Steinberg,"=""0195153936""","=""9780195153934""",0,3.98,Oxford University Press,Paperback,464,2004,1962,,2024/10/12,to-read,to-read (#251),to-read,,,,0,0
184419,The Man Who Was Thursday: A Nightmare,G.K. Chesterton,"Chesterton, G.K.","Jonathan Lethem, José Laurênio de Mello","=""0375757910""","=""9780375757914""",0,3.83,Modern Library,Paperback,182,2001,1908,,2024/12/17,to-read,to-read (#257),to-read,,,,0,0
52381770,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,"Wells, Martha",,"=""1250229863""","=""9781250229861""",0,4.47,Tor.com,Hardcover,352,2020,2020,,2023/03/23,"do_not_own_it, hugo-award-winners, currently-reading","do_not_own_it (#70), hugo-award-winners (#49), currently-reading (#2)",currently-reading,,,,1,0
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,"Wells, Martha",,"=""""","=""""",4,4.38,Tordotcom,Kindle Edition,163,2018,2018,2024/12/14,2023/03/23,do_not_own_it,do_not_own_it (#72),read,,,,1,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",4,4.27,Penguin,Paperback,671,2002,1866,2024/10/27,2021/01/09,do_not_own_it,do_not_own_it (#35),read,,,,1,0
333706,The Odyssey,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0140268863""","=""9780140268867""",4,3.81,Penguin Classics,Paperback,560,1997,-700,2024/12/08,2024/09/02,,,read,,,,1,0
31795,The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,Will Durant,"Durant, Will",,"=""0671739166""","=""9780671739164""",0,4.15,Pocket Books,Paperback,704,1991,1926,,2024/11/16,to-read,to-read (#256),to-read,,,,0,0
26228034,"The Obelisk Gate (The Broken Earth, #2)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.3,Orbit,Paperback,410,2016,2016,2024/11/13,2023/03/23,"do_not_own_it, hugo-award-winners","do_not_own_it (#68), hugo-award-winners (#47)",read,I cannot recommend this series enough. I can’t wait to read the third one. The book has so many layers and mysteries! Each character has their own motivations and personality and that makes this extremely fantastical book feel extremely real.,,,1,0
26030734,"The Wild Robot (The Wild Robot, #1)",Peter  Brown,"Brown, Peter",,"=""0316381993""","=""9780316381994""",0,4.18,"Little, Brown Books for Young Readers",Hardcover,282,2016,2016,,2024/11/12,to-read,to-read (#255),to-read,,,,0,0
112975131,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",Tim Alberta,"Alberta, Tim",,"=""006322688X""","=""9780063226883""",0,4.43,Harper,Paperback,506,2023,2023,,2024/10/17,to-read,to-read (#254),to-read,,,,0,0
680412,Nicholas II: Twilight of the Empire,Dominic Lieven,"Lieven, Dominic",,"=""0312143796""","=""9780312143794""",0,3.88,St. Martin's Press,Paperback,304,1996,1993,,2024/10/12,to-read,to-read (#253),to-read,,,,0,0
28381,Dead Souls,Nikolai Gogol,"Gogol, Nikolai",Robert A. Maguire,"=""0140448071""","=""9780140448078""",0,3.98,Penguin Classics,Paperback,464,2004,1842,,2024/10/12,to-read,to-read (#252),to-read,,,,0,0
5695,Demons,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""""","=""""",0,4.3,Vintage,Paperback,733,1995,1872,,2024/10/07,to-read,to-read (#249),to-read,,,,0,0
233649,"The Great Hunt (The Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,"=""0812517725""","=""9780812517729""",5,4.27,Tor,Mass Market Paperback,705,1991,1990,2021/08/23,2021/07/30,,,read,,,,2,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""""","=""""",0,4.31,Penguin Classics,Paperback,1276,2003,1844,,2024/09/02,to-read,to-read (#248),to-read,,,,0,0
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.76,Vintage,Paperback,783,1990,1922,,2024/09/02,to-read,to-read (#247),to-read,,,,0,0
202776726,Alien Clay,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""0316578975""","=""9780316578974""",0,4.04,Orbit,Paperback,432,2024,2024,,2024/09/01,to-read,to-read (#246),to-read,,,,0,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,"=""""","=""""",5,4.3,Orbit,Paperback,468,2015,2015,2024/08/25,2022/03/30,hugo-award-winners,hugo-award-winners (#46),read,,,,1,0
207293815,Sky Full of Elephants,Cebo Campbell,"Campbell, Cebo",,"=""1668034921""","=""9781668034927""",0,3.87,Simon & Schuster,Hardcover,304,2024,2024,,2024/08/19,to-read,to-read (#245),to-read,,,,0,0
210367505,"Absolution (Southern Reach, #4)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374616590""","=""9780374616595""",0,3.72,MCD,Hardcover,441,2024,2024,,2024/08/19,to-read,to-read (#244),to-read,,,,0,0
195791689,Hum,Helen          Phillips,"Phillips, Helen",,"=""1668008831""","=""9781668008836""",0,3.52,S&S/ Marysue Rucci Books,Hardcover,272,2024,2024,,2024/08/13,to-read,to-read (#243),to-read,,,,0,0
57043,"Foreigner (Foreigner, #1)",C.J. Cherryh,"Cherryh, C.J.",,"=""0756402514""","=""9780756402518""",0,3.92,DAW,Mass Market Paperback,428,2004,1994,,2024/08/11,to-read,to-read (#242),to-read,,,,0,0
57042,"The Faded Sun Trilogy (The Faded Sun, #1-3)",C.J. Cherryh,"Cherryh, C.J.",,"=""0886778697""","=""9780886778699""",0,4.13,DAW,Mass Market Paperback,784,2000,1978,,2024/08/11,to-read,to-read (#241),to-read,,,,0,0
998190,Sunfall,C.J. Cherryh,"Cherryh, C.J.",,"=""0879976187""","=""9780879976187""",4,3.63,DAW Books,Mass Market Paperback,158,1981,1981,2024/08/11,2022/05/21,,,read,,,,1,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,4.01,Tor Books,Hardcover,384,2006,2006,,2022/09/14,"to-read, do_not_own_it","to-read (#150), do_not_own_it (#4)",to-read,,,,0,0
50663055,Elder Race,Adrian Tchaikovsky,"Tchaikovsky, Adrian",,"=""1250768721""","=""9781250768728""",4,4.1,Tordotcom,Paperback,201,2021,2021,2024/07/28,2024/07/20,,,read,,,,1,0
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",0,4.1,Harper Perennial,Paperback,248,2006,1999,,2024/07/26,to-read,to-read (#240),to-read,,,,0,0
6162,All the Pretty Horses,Cormac McCarthy,"McCarthy, Cormac",,"=""0739412531""","=""9780739412534""",5,4.05,Vintage,Paperback,302,1992,1992,2024/07/19,2021/01/09,,,read,,,,1,0
1103654,The Sound and the Fury,William Faulkner,"Faulkner, William",,"=""0394747747""","=""9780394747743""",3,3.86,Vintage,Paperback,378,1987,1929,2024/04/25,2024/04/09,,,read,I think that if I reread it I might enjoy it more the second time. All three of these stars come from the Benjy section. The middle third was rough because I found it boring. The final third was rough because of how much I hated Jason,,,1,0
14836,Midnight’s Children,Salman Rushdie,"Rushdie, Salman",,"=""0099578514""","=""9780099578512""",0,3.98,Vintage,Paperback,647,1995,1981,,2024/07/06,to-read,to-read (#239),to-read,,,,0,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1892295490""","=""9781892295491""",0,3.43,Green Integer,Paperback,188,2003,1899,,2024/07/02,to-read,to-read (#238),to-read,,,,0,0
53205854,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"Wells, Martha",,"=""1250765374""","=""9781250765376""",0,4.3,Tor.com,Hardcover,168,2021,2021,,2024/07/01,to-read,to-read (#237),to-read,,,,0,0
